"DATE","REGION","AGEGROUP","SEX","DEATHS"
"2020-04-03","Wallonia","85+","F",24
"2020-04-03","Wallonia",NA,NA,4
"2020-04-04","Flanders","45-64","M",2
"2020-04-04","Flanders","45-64","F",3
"2020-04-04","Flanders","65-74","M",3
"2020-04-04","Flanders","65-74","F",2
"2020-04-04","Flanders","75-84","M",17
"2020-04-04","Flanders","75-84","F",7
"2020-04-04","Flanders","85+","M",12
"2020-04-04","Flanders","85+","F",15
"2020-04-04","Flanders",NA,NA,72
"2020-04-04","Brussels","45-64","M",2
"2020-04-04","Brussels","65-74","M",3
"2020-04-04","Brussels","65-74","F",3
"2020-04-04","Brussels","65-74",NA,1
"2020-04-04","Brussels","75-84","M",10
"2020-04-04","Brussels","75-84","F",6
"2020-04-04","Brussels","85+","M",11
"2020-04-04","Brussels","85+","F",14
"2020-04-04","Brussels","85+",NA,2
"2020-04-04","Wallonia","25-44","M",1
"2020-04-04","Wallonia","45-64","M",5
"2020-04-04","Wallonia","65-74","M",5
"2020-04-04","Wallonia","65-74","F",6
"2020-04-04","Wallonia","75-84","M",15
"2020-04-04","Wallonia","75-84","F",17
"2020-04-04","Wallonia","85+","M",13
"2020-04-04","Wallonia","85+","F",22
"2020-04-05","Flanders","45-64","M",1
"2020-04-05","Flanders","65-74","M",8
"2020-04-05","Flanders","65-74","F",5
"2020-04-05","Flanders","75-84","M",8
"2020-04-05","Flanders","75-84","F",9
"2020-04-05","Flanders","85+","M",12
"2020-04-05","Flanders","85+","F",8
"2020-04-05","Flanders",NA,NA,59
"2020-04-05","Brussels","45-64","M",3
"2020-04-05","Brussels","45-64","F",1
"2020-04-05","Brussels","65-74","M",2
"2020-04-05","Brussels","65-74","F",2
"2020-04-05","Brussels","75-84","M",8
"2020-04-05","Brussels","75-84","F",5
"2020-04-05","Brussels","85+","M",3
"2020-04-05","Brussels","85+","F",11
"2020-04-05","Brussels",NA,NA,1
"2020-04-05","Wallonia","45-64","M",4
"2020-04-05","Wallonia","65-74","M",11
"2020-04-05","Wallonia","65-74","F",4
"2020-04-05","Wallonia","75-84","M",10
"2020-04-05","Wallonia","75-84","F",7
"2020-04-05","Wallonia","85+","M",16
"2020-04-05","Wallonia","85+","F",25
"2020-04-05","Wallonia",NA,NA,2
"2020-04-06","Flanders","25-44","M",1
"2020-04-06","Flanders","45-64","M",3
"2020-04-06","Flanders","45-64","F",2
"2020-04-06","Flanders","65-74","M",7
"2020-04-06","Flanders","65-74","F",3
"2020-04-06","Flanders","75-84","M",6
"2020-04-06","Flanders","75-84","F",7
"2020-04-06","Flanders","85+","M",15
"2020-04-06","Flanders","85+","F",7
"2020-04-06","Flanders",NA,NA,88
"2020-04-06","Brussels","45-64","M",2
"2020-04-06","Brussels","45-64","F",2
"2020-04-06","Brussels","65-74","M",3
"2020-04-06","Brussels","65-74","F",2
"2020-04-06","Brussels","75-84","M",10
"2020-04-06","Brussels","75-84","F",5
"2020-04-06","Brussels","85+","M",7
"2020-04-06","Brussels","85+","F",10
"2020-04-06","Brussels",NA,NA,1
"2020-04-06","Wallonia","45-64","M",1
"2020-04-06","Wallonia","45-64","F",1
"2020-04-06","Wallonia","65-74","M",6
"2020-04-06","Wallonia","65-74","F",4
"2020-04-06","Wallonia","75-84","M",12
"2020-04-06","Wallonia","75-84","F",8
"2020-04-06","Wallonia","85+","M",20
"2020-04-06","Wallonia","85+","F",30
"2020-04-06","Wallonia",NA,NA,4
"2020-04-07","Flanders","45-64","M",1
"2020-04-07","Flanders","45-64","F",1
"2020-04-07","Flanders","65-74","M",3
"2020-04-07","Flanders","65-74","F",3
"2020-04-07","Flanders","75-84","M",11
"2020-04-07","Flanders","75-84","F",12
"2020-04-07","Flanders","85+","M",12
"2020-04-07","Flanders","85+","F",7
"2020-04-07","Flanders",NA,NA,103
"2020-04-07","Brussels","45-64","M",3
"2020-04-07","Brussels","45-64","F",1
"2020-04-07","Brussels","65-74","M",4
"2020-04-07","Brussels","65-74","F",1
"2020-04-07","Brussels","75-84","M",11
"2020-04-07","Brussels","75-84","F",8
"2020-04-07","Brussels","85+","M",7
"2020-04-07","Brussels","85+","F",6
"2020-04-07","Brussels",NA,NA,3
"2020-04-07","Wallonia","25-44","M",1
"2020-04-07","Wallonia","25-44","F",1
"2020-04-07","Wallonia","45-64","M",3
"2020-04-07","Wallonia","45-64","F",2
"2020-04-07","Wallonia","65-74","M",7
"2020-04-07","Wallonia","65-74","F",1
